;question;answer
0;[<p>В парафине на расстоянии 20 см помещены два точечных заряда. На каком расстоянии они должны находиться в воздухе, чтобы сила взаимодействия между ними осталась прежней?</p>, <p><em>Задача №6.1.1 из «Сборника задач для подготовки к вступительным экзаменам по физике УГНТУ»</em></p>];"[<p>\(r_1=20\) см, \(F_1=F_2\), \(r_2-?\)</p>, <p>На каждый точечный заряд со стороны другого действует сила Кулона (причём одинаковые – согласно третьему закону Ньютона), абсолютная величина которой определяется по формуле:</p>, <p>\[F = \frac{1}{{4\pi \varepsilon {\varepsilon _0}}} \cdot \frac{{{q_1}{q_2}}}{{{r^2}}}\]</p>, <p>Тогда силу взаимодействия зарядов в парафине \(F_1\) и в воздухе \(F_2\) можно найти соответственно по формулам:</p>, <p>\[\left\{ \begin{gathered}<br/> {F_1} = \frac{1}{{4\pi {\varepsilon _1}{\varepsilon _0}}} \cdot \frac{{{q_1}{q_2}}}{{r_1^2}} \hfill \\<br/> {F_2} = \frac{1}{{4\pi {\varepsilon _2}{\varepsilon _0}}} \cdot \frac{{{q_1}{q_2}}}{{r_2^2}} \hfill \\<br/> \end{gathered} \right.\]</p>, <p>Здесь \(\varepsilon _1\) – диэлектрическая проницаемость парафина, равная 2, \(\varepsilon _2\) – диэлектрическая проницаемость воздуха, равная 1.</p>, <p>Поделим верхнее равенство на нижнее, тогда получим:</p>, <p>\[\frac{{{F_1}}}{{{F_2}}} = \frac{{{\varepsilon _2}r_2^2}}{{{\varepsilon _1}r_1^2}}\]</p>, <p>По условию \(F_1=F_2\), поэтому:</p>, <p>\[\frac{{{\varepsilon _2}r_2^2}}{{{\varepsilon _1}r_1^2}} = 1\]</p>, <p>\[{\varepsilon _2}r_2^2 = {\varepsilon _1}r_1^2\]</p>, <p>Откуда получим формулу для определения расстояния \(r_2\):</p>, <p>\[{r_2} = {r_1}\sqrt {\frac{{{\varepsilon _1}}}{{{\varepsilon _2}}}} \]</p>, <p>Переведём расстояние \(r_1\) в систему СИ:</p>, <p>\[20\;см = 0,2\;м\]</p>, <p>Посчитаем ответ:</p>, <p>\[{r_2} = 0,2 \cdot \sqrt {\frac{2}{1}} = 0,283\;м\]</p>]"
1;[<p>Два электрических заряда притягиваются друг к другу в керосине с силой 7,8 Н. С какой силой они будут притягиваться, если их поместить в глицерин на расстоянии в два раза меньшем?</p>, <p><em>Задача №6.1.1 из «Сборника задач для подготовки к вступительным экзаменам по физике УГНТУ»</em></p>];"[<p>\(F_1=7,8\) Н, \(r_2=0,5r_1\), \(F_2-?\)</p>, <p>Два электрических заряда \(q_1\) и \(q_2\) притягиваются друг к другу в среде с диэлектрической проницаемостью \(\varepsilon\) с силой, абсолютное значение которой можно определить по формуле:</p>, <p>\[F = \frac{1}{{4\pi \varepsilon {\varepsilon _0}}} \cdot \frac{{{q_1}{q_2}}}{{{r^2}}}\]</p>, <p>Таким образом, силу Кулона \(F_1\), действующую между зарядами в керосине с диэлектрической проницаемостью \(\varepsilon_1\), равной 2, и силу Кулона \(F_2\), действующую в глицерине с диэлектрической проницаемостью \(\varepsilon_2\), равной 39, можно соответственно определять по формулам:</p>, <p>\[\left\{ \begin{gathered}<br/> {F_1} = \frac{1}{{4\pi {\varepsilon _1}{\varepsilon _0}}} \cdot \frac{{{q_1}{q_2}}}{{r_1^2}} \hfill \\<br/> {F_2} = \frac{1}{{4\pi {\varepsilon _2}{\varepsilon _0}}} \cdot \frac{{{q_1}{q_2}}}{{r_2^2}} \hfill \\<br/> \end{gathered} \right.\]</p>, <p>Поделим нижнее равенство на верхнее, тогда:</p>, <p>\[\frac{{{F_2}}}{{{F_1}}} = \frac{{{\varepsilon _1}r_1^2}}{{{\varepsilon _2}r_2^2}}\]</p>, <p>\[{F_2} = \frac{{{\varepsilon _1}r_1^2}}{{{\varepsilon _2}r_2^2}}{F_1}\]</p>, <p>В условии задания сказано, что \(r_2=0,5r_1\), поэтому:</p>, <p>\[{F_2} = \frac{{{\varepsilon _1}r_1^2}}{{0,25{\varepsilon _2}r_1^2}}{F_1}\]</p>, <p>\[{F_2} = \frac{{{F_1}{\varepsilon _1}}}{{0,25{\varepsilon _2}}}\]</p>, <p>Задача решена в общем виде. Произведём вычисления:</p>, <p>\[{F_2} = \frac{{7,8 \cdot 2}}{{0,25 \cdot 39}} = 1,6\;Н\]</p>]"
2;[<p>Два шарика, расположенные на расстоянии 10 см друг от друга, имеют одинаковые отрицательные заряды и взаимодействуют с силой 0,23 мН. Найти число избыточных электронов на каждом шарике.</p>, <p><em>Задача №6.1.3 из «Сборника задач для подготовки к вступительным экзаменам по физике УГНТУ»</em></p>];"[<p>\(r=10\) см, \(F=0,23\) мН, \(N-?\)</p>, <p>Закон Кулона говорит о том, что сила взаимодействия между зарядами прямо пропорциональна произведению этих зарядов и обратно пропорциональна квадрату расстояния между ними. Так как заряды шариков одинаковы, то имеем:</p>, <p>\[F = \frac{{k{q^2}}}{{{r^2}}}\]</p>, <p>Здесь \(k\) – коэффициент пропорциональности, равный 9·10<sup>9</sup> Н·м<sup>2</sup>/Кл<sup>2</sup>. Также отметим, что здесь \(q\) – это модуль (абсолютная величина) заряда шариков.</p>, <p>Известно, что любой заряд содержит в себе целое число элементарных зарядов (то есть зарядов электрона), поэтому:</p>, <p>\[q = Ne\]</p>, <p>В этой формуле \(e\) – абсолютная величина заряда электрона, равная 1,6·10<sup>-19</sup> Кл.</p>, <p>Тогда:</p>, <p>\[F = \frac{{k{N^2}{e^2}}}{{{r^2}}}\]</p>, <p>Откуда искомое число избыточных электронов \(N\) равно:</p>, <p>\[N = \frac{r}{e}\sqrt {\frac{F}{k}} \]</p>, <p>Переведём расстояние между шариками \(r\) в систему СИ:</p>, <p>\[10\;см = 0,1\;м\]</p>, <p>Посчитаем численный ответ:</p>, <p>\[N = \frac{{0,1}}{{1,6 \cdot {{10}^{ – 19}}}}\sqrt {\frac{{0,23 \cdot {{10}^{ – 3}}}}{{9 \cdot {{10}^9}}}} \approx {10^{11}}\]</p>]"
3;[<p>С какой силой ядро атома железа (\({}_{26}^{56}Fe\)) притягивает электрон, находящийся на внутренней оболочке атома, расположенной на расстоянии 10<sup>-12</sup> м?</p>, <p><em>Задача №6.1.4 из «Сборника задач для подготовки к вступительным экзаменам по физике УГНТУ»</em></p>];"[<p>\(r=10^-12\) м, \(F-?\)</p>, <p>Ядро атома железа \({}_{26}^{56}Fe\) состоит из протонов и нейтронов, причём число протонов в ядре равно суммарному числу электронов на электронных оболочках. Число протонов в ядре (а значит и общее количество электронов в атоме железа) равно зарядовому числу (у железа равно 26, нижнее число в записи \({}_{26}^{56}Fe\)). Так как заряд протона по абсолютной величине равен заряду электрона, то заряд ядра атома железа равен:</p>, <p>\[q = 26e\]</p>, <p>Элементарный заряд \(e\) равен 1,6·10<sup>-19</sup> Кл.</p>, <p>Тогда силу Кулона, действующую между ядром атома железа и электроном, находящимся на внутренней оболочке ядра, можно найти по формуле:</p>, <p>\[F = \frac{{26k{e^2}}}{{{r^2}}}\]</p>, <p>Здесь \(k\) – коэффициент пропорциональности, равный 9·10<sup>9</sup> Н·м<sup>2</sup>/Кл<sup>2</sup>.</p>, <p>Произведём вычисления:</p>, <p>\[F = \frac{{26 \cdot 9 \cdot {{10}^9} \cdot {{1,6}^2} \cdot {{10}^{ – 38}}}}{{{{10}^{ – 24}}}} = 0,006\;Н = 6\;мН\]</p>]"
4;[<p>На двух одинаковых капельках воды находится по одному лишнему электрону, причем сила электрического отталкивания капелек уравновешивает силу их взаимного тяготения. Каковы радиусы капелек?</p>, <p><em>Задача №6.1.5 из «Сборника задач для подготовки к вступительным экзаменам по физике УГНТУ»</em></p>];"[<p>\(F_{эл}=F_{тяг}\), \(r-?\)</p>, <p>Пусть \(R\) – расстояние между капельками воды.</p>, <p>Так как на каждой капельке воды находится по одному лишнему электрону, то по закону Кулона они будут отталкиваться с силой \(F_{эл}\), равной:</p>, <p>\[{F_{эл}} = \frac{{k{e^2}}}{{{R^2}}}\;\;\;\;(1)\]</p>, <p>В этой формуле \(k\) – коэффициент пропорциональности, равный 9·10<sup>9</sup> Н·м<sup>2</sup>/Кл<sup>2</sup>, \(e\) – элементарный заряд, равный 1,6·10<sup>-19</sup> Кл.</p>, <p>По закону всемирного тяготения капельки воды будут притягиваться с силой \(F_{тяг}\), определяемой по формуле:</p>, <p>\[{F_{тяг}} = \frac{{G{m^2}}}{{{R^2}}}\;\;\;\;(2)\]</p>, <p>Здесь \(G\) – гравитационная постоянная, она равна 6,67·10<sup>-11</sup> Н·м<sup>2</sup>/кг<sup>2</sup>.</p>, <p>Массу капельки воды \(m\) запишем как произведение плотности воды \(\rho\) (она равна 1000 кг/м<sup>3</sup>) на объем одной капельки \(V\):</p>, <p>\[m = \rho V\;\;\;\;(3)\]</p>, <p>Капля имеет шарообразную форму, поэтому её объем \(V\) можно найти по формуле:</p>, <p>\[V = \frac{4}{3}\pi {r^3}\;\;\;\;(4)\]</p>, <p>Подставим (4) в (3), а полученное в (2), тогда:</p>, <p>\[{F_{тяг}} = \frac{{16G{\rho ^2}{\pi ^2}{r^6}}}{{9{R^2}}}\;\;\;\;(5)\]</p>, <p>По условию задачи сила электрического отталкивания уравновешивает силу их взаимного тяготения, то есть \(F_{эл}=F_{тяг}\), поэтому приравняем (1) и (5):</p>, <p>\[\frac{{k{e^2}}}{{{R^2}}} = \frac{{16G{\rho ^2}{\pi ^2}{r^6}}}{{9{R^2}}}\;\;\;\;(6)\]</p>, <p>\[k{e^2} = \frac{{16}}{9}G{\rho ^2}{\pi ^2}{r^6}\]</p>, <p>Откуда искомый радиус капелек \(r\) равен:</p>, <p>\[r = \sqrt[6]{{\frac{{9k{e^2}}}{{16G{\rho ^2}{\pi ^2}}}}}\]</p>, <p>Произведём расчёт численного ответа:</p>, <p>\[r = \sqrt[6]{{\frac{{9 \cdot 9 \cdot {{10}^9} \cdot {{1,6}^2} \cdot {{10}^{ – 38}}}}{{16 \cdot 6,67 \cdot {{10}^{ – 11}} \cdot {{1000}^2} \cdot {{3,14}^2}}}}} = 0,0000763\;м = 76,3\;мкм\]</p>]"
5;[<p>Два заряженных шара одинакового радиуса, массой 0,3 кг каждый, расположены на таком расстоянии друг от друга, что взаимодействие их зарядов уравновешивается силой взаимного тяготения. Найти радиусы шаров, если поверхностная плотность их зарядов равна 1,25 нКл/м<sup>2</sup>.</p>, <p><em>Задача №6.1.6 из «Сборника задач для подготовки к вступительным экзаменам по физике УГНТУ»</em></p>];"[<p>\(m=0,3\) кг, \(F_{эл} = F_{тяг}\), \(\sigma=1,25\) нКл/м<sup>2</sup>, \(r-?\)</p>, <p>Пусть расстояние между шарами равно \(R\).</p>, <p>Согласно закону всемирного тяготения указанные шары одинаковой массы \(m\) будут притягиваться с силой \(F_{тяг}\), определяемой по формуле:</p>, <p>\[{F_{тяг}} = \frac{{G{m^2}}}{{{R^2}}}\]</p>, <p>В этой формуле \(G\) – гравитационная постоянная, равная 6,67·10<sup>-11</sup> Н·м<sup>2</sup>/кг<sup>2</sup>.</p>, <p>Также между шарами из-за взаимодействия зарядов действует сила Кулона \(F_{эл}\), определяемая по формуле:</p>, <p>\[{F_{эл}} = \frac{{k{q^2}}}{{{R^2}}}\]</p>, <p>Здесь \(k\) – коэффициент пропорциональности, равный 9·10<sup>9</sup> Н·м<sup>2</sup>/Кл<sup>2</sup>.</p>, <p>Поскольку в условии задачи дана поверхностная плотность заряда \(\sigma\), то верна формула:</p>, <p>\[q = \sigma S\]</p>, <p>Здесь \(S\) – площадь поверхности шара, определяемая по известной формуле из математики:</p>, <p>\[S = 4\pi {r^2}\]</p>, <p>Тогда:</p>, <p>\[{F_{эл}} = \frac{{16k{\pi ^2}{\sigma ^2}{r^4}}}{{{R^2}}}\]</p>, <p>Поскольку взаимодействие зарядов шаров уравновешивается силой взаимного тяготения, то есть \(F_{эл} = F_{тяг}\), то имеем:</p>, <p>\[\frac{{G{m^2}}}{{{R^2}}} = \frac{{16k{\pi ^2}{\sigma ^2}{r^4}}}{{{R^2}}}\]</p>, <p>\[G{m^2} = 16k{\pi ^2}{\sigma ^2}{r^4}\]</p>, <p>\[r = \sqrt[4]{{\frac{{G{m^2}}}{{16k{\pi ^2}{\sigma ^2}}}}}\]</p>, <p>Задача решена в общем виде, остаётся только найти численный ответ:</p>, <p>\[r = \sqrt[4]{{\frac{{6,67 \cdot {{10}^{ – 11}} \cdot {{0,3}^2}}}{{16 \cdot 9 \cdot {{10}^9} \cdot {{3,14}^2} \cdot {{1,25}^2} \cdot {{10}^{ – 18}}}}}} = 0,04\;м\]</p>]"
6;[<p>По теории Бора электрон в атоме водорода вращается вокруг ядра по круговой орбите радиусом 0,53·10<sup>-10</sup> м. Определить скорость движения электрона по орбите.</p>, <p><em>Задача №6.1.7 из «Сборника задач для подготовки к вступительным экзаменам по физике УГНТУ»</em></p>];"[<p>\(r=0,53 \cdot 10^{-10}\) м, \(\upsilon-?\)</p>, <p>Атом водорода содержит один электрон, вращающийся вокруг ядра. Ядро водорода состоит из одного протона (то есть нейтронов вообще нет). Заряд протона равен по абсолютному значению заряду электрона (то есть элементарному заряду \(e\)). Тогда по закону Кулона силу взаимодействия между ядро атома водорода и электроном можно найти по формуле:</p>, <p>\[{F_{эл}} = \frac{{k{e^2}}}{{{r^2}}}\;\;\;\;(1)\]</p>, <p>В этой формуле \(k\) – коэффициент пропорциональности, равный 9·10<sup>9</sup> Н·м<sup>2</sup>/Кл<sup>2</sup>, \(e\) – элементарный заряд, равный 1,6·10<sup>-19</sup> Кл.</p>, <p>Эта сила сообщает электрону центростремительное ускорение \(a_ц\), запишем второй закон Ньютона:</p>, <p>\[{F_{эл}} = m{a_ц}\;\;\;\;(2)\]</p>, <p>Здесь \(m\) – масса электрона, она равна 9,1·10<sup>-31</sup> кг.</p>, <p>Центростремительное ускорение \(a_ц\) можно выразить через линейную скорость электрона на орбите \(\upsilon\) и радиус этой орбиты \(r\):</p>, <p>\[{a_ц} = \frac{{{\upsilon ^2}}}{r}\;\;\;\;(3)\]</p>, <p>Подставим выражения (1) и (3) в равенство (2), тогда:</p>, <p>\[\frac{{k{e^2}}}{{{r^2}}} = \frac{{m{\upsilon ^2}}}{r}\]</p>, <p>\[\frac{{k{e^2}}}{r} = m{\upsilon ^2}\]</p>, <p>Откуда искомая скорость электрона \(\upsilon\) равна:</p>, <p>\[\upsilon = e\sqrt {\frac{k}{{mr}}} \]</p>, <p>Произведём расчёт численного ответа:</p>, <p>\[\upsilon = 1,6 \cdot {10^{ – 19}} \cdot \sqrt {\frac{{9 \cdot {{10}^9}}}{{9,1 \cdot {{10}^{ – 31}} \cdot 0,53 \cdot {{10}^{ – 10}}}}} = 2185660\;м/с \approx 2186\;км/с\]</p>]"
7;[<p>В атоме водорода электрон движется вокруг протона с угловой скоростью 10<sup>16</sup> рад/с. Найти радиус орбиты электрона.</p>, <p><em>Задача №6.1.8 из «Сборника задач для подготовки к вступительным экзаменам по физике УГНТУ»</em></p>];"[<p>\(\omega=10^{16}\) рад/с, \(r-?\)</p>, <p>Между протоном (то есть ядром водорода) и электроном действует сила Кулона, равная:</p>, <p>\[{F_{эл}} = \frac{{k{e^2}}}{{{r^2}}}\;\;\;\;(1)\]</p>, <p>Здесь \(k\) – коэффициент пропорциональности, равный 9·10<sup>9</sup> Н·м<sup>2</sup>/Кл<sup>2</sup>, \(e\) – элементарный заряд, он равен 1,6·10<sup>-19</sup> Кл.</p>, <p>Запишем второй закон Ньютона:</p>, <p>\[{F_{эл}} = m{a_ц}\;\;\;\;(2)\]</p>, <p>В этой формуле \(m\) – масса электрона, равная 9,1·10<sup>-31</sup> кг.</p>, <p>Центростремительное ускорение \(a_ц\) можно выразить через угловую скорость вращения \(\omega\) по такой формуле:</p>, <p>\[{a_ц} = {\omega ^2}r\;\;\;\;(3)\]</p>, <p>Подставим выражения (1) и (3) в формулу (2):</p>, <p>\[\frac{{k{e^2}}}{{{r^2}}} = m{\omega ^2}r\]</p>, <p>\[k{e^2} = m{\omega ^2}{r^3}\]</p>, <p>Тогда искомый радиус орбиты электрона \(r\) равен:</p>, <p>\[r = \sqrt[3]{{\frac{{k{e^2}}}{{m{\omega ^2}}}}}\]</p>, <p>Посчитаем численный ответ к задаче:</p>, <p>\[r = \sqrt[3]{{\frac{{9 \cdot {{10}^9} \cdot {{1,6}^2} \cdot {{10}^{ – 38}}}}{{9,1 \cdot {{10}^{ – 31}} \cdot {{10}^{32}}}}}} = 1,36 \cdot {10^{ – 10}}\;м = 0,136\;нм\]</p>]"
8;[<p>Два одинаковых шара, массы которых 600 г и радиусы – 20 см, имеют одинаковые заряды. Найти поверхностную плотность электрических зарядов, если известно, что кулоновская сила отталкивания уравновешивается силой всемирного тяготения. Расстояние между шарами гораздо больше их радиусов.</p>, <p><em>Задача №6.1.9 из «Сборника задач для подготовки к вступительным экзаменам по физике УГНТУ»</em></p>];"[<p>\(m=600\) г, \(r=20\) см, \(F_{эл} = F_{тяг}\), \(\sigma – ?\)</p>, <p>Согласно закону всемирного тяготения указанные шары массой \(m\) каждый притягиваются с силой \(F_{тяг}\), определяемой по такой формуле:</p>, <p>\[{F_{тяг}} = \frac{{G{m^2}}}{{{R^2}}}\;\;\;\;(1)\]</p>, <p>В этой формуле \(G\) – гравитационная постоянная (\(G=6,67 \cdot 10^{-11}\) Н<sup>2</sup>·м<sup>2</sup>/кг<sup>2</sup>).</p>, <p>По закону Кулона указанные шары будут отталкиваться вследствие взаимодействия зарядов с силой \(F_{эл}\), которую можно определить по формуле:</p>, <p>\[{F_{эл}} = \frac{{k{q^2}}}{{{R^2}}}\;\;\;\;(2)\]</p>, <p>Здесь \(k\) – коэффициент пропорциональности (\(k=9 \cdot 10^9\) Н<sup>2</sup>·м<sup>2</sup>/Кл<sup>2</sup>).</p>, <p>Заряд \(q\) равномерно распределяется по поверхности каждого шара, поэтому верно записать:</p>, <p>\[q = \sigma S\;\;\;\;(3)\]</p>, <p>Площадь поверхности шара \(S\) из математики можно найти по формуле:</p>, <p>\[S = 4\pi {r^2}\;\;\;\;(4)\]</p>, <p>Тогда формула (2) с учётом выражений (3) и (4) примет такой вид:</p>, <p>\[{F_{эл}} = \frac{{16k{\sigma ^2}{\pi ^2}{r^4}}}{{{R^2}}}\;\;\;\;(5)\]</p>, <p>По условию задачи “кулоновская сила отталкивания уравновешивается силой всемирного тяготения” (\(F_{эл} = F_{тяг}\)), поэтому приравняем (1) и (5):</p>, <p>\[\frac{{G{m^2}}}{{{R^2}}} = \frac{{16k{\sigma ^2}{\pi ^2}{r^4}}}{{{R^2}}}\]</p>, <p>\[G{m^2} = 16k{\sigma ^2}{\pi ^2}{r^4}\]</p>, <p>Откуда искомая поверхностная плотность заряда \(\sigma\) равна:</p>, <p>\[\sigma = \frac{m}{{4\pi {r^2}}}\sqrt {\frac{G}{k}} \]</p>, <p>Переведём массу шаров и их радиус в систему СИ:</p>, <p>\[600\;г = 0,6\;кг\]</p>, <p>\[20\;см = 0,2\;м\]</p>, <p>Посчитаем численный ответ:</p>, <p>\[\sigma = \frac{{0,6}}{{4 \cdot 3,14 \cdot {{0,2}^2}}}\sqrt {\frac{{6,67 \cdot {{10}^{ – 11}}}}{{9 \cdot {{10}^9}}}} = 9,5 \cdot {10^{ – 11}}\;Кл/м^2\]</p>]"
9;[<p>Какое первоначальное ускорение получит капелька жидкости массой 1,6·10<sup>-5</sup> г, потерявшая 100 электронов, если на расстоянии 3 см от нее поместить заряд 2 мкКл?</p>, <p><em>Задача №6.1.10 из «Сборника задач для подготовки к вступительным экзаменам по физике УГНТУ»</em></p>];"[<p>\(m=1,6 \cdot 10^{-5}\) г, \(N=100\), \(R=3\) см, \(q_2=2\) мкКл, \(a-?\)</p>, <p>Если капелька жидкости потеряла \(N\) электронов, то она будет иметь положительный заряд \(q_1\), равный:</p>, <p>\[{q_1} = Ne\;\;\;\;(1)\]</p>, <p>Элементарный заряд \(e\) равен 1,6·10<sup>-19</sup> Кл.</p>, <p>Так как заряды \(q_1\) и \(q_2\) имеют одинаковые знаки, значит они будут отталкиваться. В первоначальный момент времени сила кулоновского взаимодействия \(F_{эл}\) между ними будет равна:</p>, <p>\[{F_{эл}} = \frac{{k{q_1}{q_2}}}{{{R^2}}}\]</p>, <p>В этой формуле \(k\) – коэффициент пропорциональности, равный 9·10<sup>9</sup> Н·м<sup>2</sup>/Кл<sup>2</sup>.</p>, <p>Учитывая равенство (1), имеем:</p>, <p>\[{F_{эл}} = \frac{{100ke{q_2}}}{{{R^2}}}\;\;\;\;(2)\]</p>, <p>Так как на капельку действует только одна сила Кулона (силой тяжести мы пренебрегаем), то можем записать второй закон Ньютона:</p>, <p>\[{F_{эл}} = ma\;\;\;\;(3)\]</p>, <p>Приравняем (2) и (3), тогда:</p>, <p>\[\frac{{100ke{q_2}}}{{{R^2}}} = ma\]</p>, <p>Откуда начальное ускорение капельки \(a\) равно:</p>, <p>\[a = \frac{{100ke{q_2}}}{{m{R^2}}}\]</p>, <p>Переведём массу капли \(m\) и расстояние \(R\) в систему СИ:</p>, <p>\[1,6 \cdot {10^{ – 5}}\;г = 1,6 \cdot {10^{ – 8}}\;кг\]</p>, <p>\[3\;см = 0,03\;м\]</p>, <p>Посчитаем ответ:</p>, <p>\[a = \frac{{100 \cdot 9 \cdot {{10}^9} \cdot 1,6 \cdot {{10}^{ – 19}} \cdot 2 \cdot {{10}^{ – 6}}}}{{1,6 \cdot {{10}^{ – 8}} \cdot {{0,03}^2}}} = 0,02\;м/с^2 = 2\;см/с^2\]</p>]"
