;question;answer
0;[<p>Координата точки меняется со временем по закону \(x=11+35t+35t^3\). Определить ускорение точки через 1 с.</p>, <p><em>Задача №1.1.1 из «Сборника задач для подготовки к вступительным экзаменам по физике УГНТУ»</em></p>];"[<p>\(x(t)=11+35t+35t^3\), \(a(1)-?\)</p>, <p>Перед нами очень простая задача на знание того факта, что ускорение и скорость тела можно найти через производную (вторую и первую соответственно) функции координаты.</p>, <p>Итак, первая производная от функции изменения координаты \(x(t)\) есть функция мгновенной скорости тела:</p>, <p>\[\upsilon (t) = x'(t)\]</p>, <p>Используя правила дифференцирования найдем эту производную:</p>, <p>\[\upsilon (t) = \left( {11 + 35t + 35{t^3}} \right)’\]</p>, <p>\[\upsilon (t) = 35 + 105{t^2}\]</p>, <p>Первая производная от функции мгновенной скорости есть функция мгновенного ускорения тела:</p>, <p>\[a(t) = \upsilon'(t)\]</p>, <p>\[a(t) = \left( {35 + 105{t^2}} \right)’\]</p>, <p>\[a(t) = 210t\]</p>, <p>Найдем \(a(1)\):</p>, <p>\[a(1) = 210 \cdot 1 = 210\; м/{с^2}\]</p>]"
1;[<p>Из точек A и B, расположенных на расстоянии 300 м, навстречу друг другу движутся два тела, уравнения движения которых имеют вид \(S_1=2t+2,5t^2\), \(S_2=3t\), где все величины выражены в системе СИ. Определить путь, пройденный первым телом до их встречи.</p>, <p><em>Задача №1.1.2 из «Сборника задач для подготовки к вступительным экзаменам по физике УГНТУ»</em></p>];"[<p>\(L=300\) м, \(S_1=2t+2,5t^2\), \(S_2=3t\), \(S_1(\tau)-?\)</p>, <p>Если тела движутся из двух разных точек A и B, причем навстречу друг другу, то сумма пройденных ими путей за время \(\tau\) до встречи равна расстоянию между этими точками \(L\), то есть:</p>, <p>\[{S_1}(\tau ) + {S_2}(\tau ) = L\]</p>, <p>\[2\tau  + 2,5{\tau ^2} + 3\tau  = 300\]</p>, <p>Решим это квадратное уравнение для нахождения времени \(\tau\), прошедшего до встречи:</p>, <p>\[2,5{\tau ^2} + 5\tau  – 300 = 0\]</p>, <p>\[{\tau ^2} + 2\tau  – 120 = 0\]</p>, <p>\[D = 4 + 4 \cdot 120 = 484\]</p>, <p>\[\tau  = \frac{{ – 2 \pm 22}}{2}\]</p>, <p>\[\left[ \begin{gathered}<br/> \tau = – 12 \; с \hfill \\<br/> \tau = 10 \; с \hfill \\<br/> \end{gathered} \right.\]</p>, <p>Время не может быть отрицательным, поэтому откидываем первый корень. Для того, чтобы найти \(S_1(\tau)\) подставим найденное время в уравнение движения первого тела.</p>, <p>\[{S_1}(10) = 2 \cdot 10 + 2,5 \cdot {10^2} = 270\; м \]</p>]"
2;[<p>Скорость тела меняется по закону \(v=10+2t\). Чему равен путь, пройденный телом за 5 с?</p>, <p><em>Задача №1.1.3 из «Сборника задач для подготовки к вступительным экзаменам по физике УГНТУ»</em></p>];"[<p>\(\upsilon(t) = 10 + 2t\), \(S(5)-?\)</p>, <p>Решить такую задачу можно разными способами.</p>, <p>Первый способ заключается в том, что мы запишем уравнение движения тела, используя данное нам уравнение скорости, и сосчитаем ответ. Как же это делается?</p>, <p>В общем случае уравнение скорости тела для равноускоренного движения выглядит в виде:</p>, <p>\[\upsilon(t)  = {\upsilon _0} + at\]</p>, <p>Сравнивая это общее уравнение с данным \(\upsilon(t) = 10 + 2t\) видно, что начальная скорость равна \(\upsilon_0=10\) м/с, а ускорение равно \(a=2\) м/с<sup>2</sup>. Априори считается, что в уравнении все величины даны в системе СИ.</p>, <p>Уравнение же движения тела в общем виде записывается как:</p>, <p>\[S(t) = {\upsilon _0}t + \frac{{a{t^2}}}{2}\]</p>, <p>Подставим в него извлеченные нами данные:</p>, <p>\[S(t) = 10t + \frac{{2{t^2}}}{2}\]</p>, <p>\[S(t) = 10t + {t^2}\]</p>, <p>Осталось сосчитать \(S(5)\):</p>, <p>\[S(5) = 10 \cdot 5 + {5^2} = 75\; м \]</p>, <p>Замечу, что подобное решение имеет свои ограничения – при движении скорость не должна менять знака (вектор скорости не должен менять направления).</p>, <p><strong><a class=""fancybox"" href=""http://easyfizika.ru/wp-content/uploads/2016/07/Shema-k-resheniyu-zadachi-19.png""><span itemprop=""image"" itemscope="""" itemtype=""https://schema.org/ImageObject""><img alt=""Схема к решению задачи"" class=""alignright wp-image-832 size-medium"" height=""242"" itemprop=""url image"" sizes=""(max-width: 300px) 100vw, 300px"" src=""http://easyfizika.ru/wp-content/uploads/2016/07/Shema-k-resheniyu-zadachi-19-300x242.png"" srcset=""http://easyfizika.ru/wp-content/uploads/2016/07/Shema-k-resheniyu-zadachi-19-300x242.png 300w, http://easyfizika.ru/wp-content/uploads/2016/07/Shema-k-resheniyu-zadachi-19-150x121.png 150w, http://easyfizika.ru/wp-content/uploads/2016/07/Shema-k-resheniyu-zadachi-19-1024x826.png 1024w, http://easyfizika.ru/wp-content/uploads/2016/07/Shema-k-resheniyu-zadachi-19.png 1104w"" width=""300""/><meta content=""300"" itemprop=""width""><meta content=""242"" itemprop=""height""/></meta></span></a></strong>Второй способ более оригинален и использует тот факт, что площадь фигуры под графиком скорости (и не под каким другим!) за искомое время и есть пройденный путь. Для этого построим график \(v(t)=10+2t\) (смотри рисунок справа) и сосчитаем площадь получившейся фигуры (трапеции).</p>, <p>\[S(5) = \frac{1}{2}\left( {20 + 10} \right) \cdot 5 = 75\; м \]</p>]"
3;"[<p><a class=""fancybox"" href=""http://easyfizika.ru/wp-content/uploads/2016/07/Shema-k-usloviyu-zadachi-4.png""><span itemprop=""image"" itemscope="""" itemtype=""https://schema.org/ImageObject""><img alt=""Схема к условию задачи"" class=""alignright wp-image-839 size-medium"" height=""163"" itemprop=""url image"" sizes=""(max-width: 300px) 100vw, 300px"" src=""http://easyfizika.ru/wp-content/uploads/2016/07/Shema-k-usloviyu-zadachi-4-300x163.png"" srcset=""http://easyfizika.ru/wp-content/uploads/2016/07/Shema-k-usloviyu-zadachi-4-300x163.png 300w, http://easyfizika.ru/wp-content/uploads/2016/07/Shema-k-usloviyu-zadachi-4-150x82.png 150w, http://easyfizika.ru/wp-content/uploads/2016/07/Shema-k-usloviyu-zadachi-4-1024x558.png 1024w, http://easyfizika.ru/wp-content/uploads/2016/07/Shema-k-usloviyu-zadachi-4.png 1168w"" width=""300""/><meta content=""300"" itemprop=""width""><meta content=""163"" itemprop=""height""/></meta></span></a>График зависимости скорости тела от времени имеет вид полуокружности. Максимальная скорость тела \(\upsilon_0\), время движения \(t_0\). Определить путь, пройденный телом. Рисунок, приведенный в условии задачи, изображен справа.</p>, <p><em>Задача №1.1.4 из «Сборника задач для подготовки к вступительным экзаменам по физике УГНТУ»</em></p>]";"[<p>\(\upsilon_0\), \(t_0\), \(S-?\)</p>, <p><a class=""fancybox"" href=""http://easyfizika.ru/wp-content/uploads/2016/07/Shema-k-resheniyu-zadachi-20.png""><span itemprop=""image"" itemscope="""" itemtype=""https://schema.org/ImageObject""><img alt=""Схема к решению задачи"" class=""alignright wp-image-840 size-medium"" height=""163"" itemprop=""url image"" sizes=""(max-width: 300px) 100vw, 300px"" src=""http://easyfizika.ru/wp-content/uploads/2016/07/Shema-k-resheniyu-zadachi-20-300x163.png"" srcset=""http://easyfizika.ru/wp-content/uploads/2016/07/Shema-k-resheniyu-zadachi-20-300x163.png 300w, http://easyfizika.ru/wp-content/uploads/2016/07/Shema-k-resheniyu-zadachi-20-150x82.png 150w, http://easyfizika.ru/wp-content/uploads/2016/07/Shema-k-resheniyu-zadachi-20-1024x558.png 1024w, http://easyfizika.ru/wp-content/uploads/2016/07/Shema-k-resheniyu-zadachi-20.png 1168w"" width=""300""/><meta content=""300"" itemprop=""width""><meta content=""163"" itemprop=""height""/></meta></span></a>Также, как и <a href=""http://easyfizika.ru/zadachi/kinematika/skorost-tela-menyaetsya-po-zakonu-v-10-2t-chemu-raven-put-projdennyj/"">во втором способе решения этой задачи</a>, используем тот факт, что путь, пройденный телом, возможно определить как площадь фигуры под графиком зависимости скорости тела от времени (на рисунке к решению заштриховано). Так как график имеет вид полуокружности, то и его площадь находится как половина площади круга:</p>, <p>\[S = \frac{1}{2}\pi {r^2}\]</p>, <p>Запишем формулу в такой форме:</p>, <p>\[S = \frac{1}{2}\pi r \cdot r\]</p>, <p>Это необходимо для того, чтобы человек, решающий эту задачу не подставил вместо \(r\) либо только \(\upsilon_0\), либо только \(\frac{t_0}{2}\), поскольку в таком случае ответ не будет подходить по размерности с размерностью пути. Поэтому, вместо первого \(r\) подставим \(\upsilon_0\), а вместо второго – \(\frac{t_0}{2}\). Только в этом случае мы сможем получить верный ответ:</p>, <p>\[S = \frac{1}{2}\pi {\upsilon _0} \cdot \frac{{{t_0}}}{2} = 0,25\pi {\upsilon _0}{t_0}\]</p>]"
4;"[<p><a class=""fancybox"" href=""http://easyfizika.ru/wp-content/uploads/2016/07/Shema-k-usloviyu-zadachi-5.png""><span itemprop=""image"" itemscope="""" itemtype=""https://schema.org/ImageObject""><img alt=""Схема к условию задачи"" class=""alignright wp-image-849 size-medium"" height=""164"" itemprop=""url image"" sizes=""(max-width: 300px) 100vw, 300px"" src=""http://easyfizika.ru/wp-content/uploads/2016/07/Shema-k-usloviyu-zadachi-5-300x164.png"" srcset=""http://easyfizika.ru/wp-content/uploads/2016/07/Shema-k-usloviyu-zadachi-5-300x164.png 300w, http://easyfizika.ru/wp-content/uploads/2016/07/Shema-k-usloviyu-zadachi-5-150x82.png 150w, http://easyfizika.ru/wp-content/uploads/2016/07/Shema-k-usloviyu-zadachi-5-1024x559.png 1024w, http://easyfizika.ru/wp-content/uploads/2016/07/Shema-k-usloviyu-zadachi-5.png 1168w"" width=""300""/><meta content=""300"" itemprop=""width""><meta content=""164"" itemprop=""height""/></meta></span></a>Поезд начинает двигаться по прямой, параллельной оси \(x\). Зависимость скорости поезда от времени показана на рисунке (показан справа). За 20 мин поезд прошел 18 км. Найти ускорение поезда в промежутке \(\left[ {0,\tau } \right]\), где \(\tau=10\) мин.</p>, <p><em>Задача №1.1.5 из «Сборника задач для подготовки к вступительным экзаменам по физике УГНТУ»</em></p>]";"[<p>\(S=18\) км, \(\tau=10\) мин, \(a-?\)</p>, <p><a class=""fancybox"" href=""http://easyfizika.ru/wp-content/uploads/2016/07/Shema-k-resheniyu-zadachi-21.png""><span itemprop=""image"" itemscope="""" itemtype=""https://schema.org/ImageObject""><img alt=""Схема к решению задачи"" class=""alignright wp-image-850 size-medium"" height=""164"" itemprop=""url image"" sizes=""(max-width: 300px) 100vw, 300px"" src=""http://easyfizika.ru/wp-content/uploads/2016/07/Shema-k-resheniyu-zadachi-21-300x164.png"" srcset=""http://easyfizika.ru/wp-content/uploads/2016/07/Shema-k-resheniyu-zadachi-21-300x164.png 300w, http://easyfizika.ru/wp-content/uploads/2016/07/Shema-k-resheniyu-zadachi-21-150x82.png 150w, http://easyfizika.ru/wp-content/uploads/2016/07/Shema-k-resheniyu-zadachi-21-1024x559.png 1024w, http://easyfizika.ru/wp-content/uploads/2016/07/Shema-k-resheniyu-zadachi-21.png 1168w"" width=""300""/><meta content=""300"" itemprop=""width""><meta content=""164"" itemprop=""height""/></meta></span></a>Начнем решение с конца. Поезд в промежутке \(\left[ {0,\tau } \right]\) движется равноускоренно (это видно по графику), и его ускорение можно найти как тангенс угла наклона графика скорости:</p>, <p>\[a = tg\alpha  = \frac{{{\upsilon _0}}}{\tau }\;\;\;\;(1)\]</p>, <p>Так как нам известно сколько прошел поезд за все время, то найдем из выражения для пути неизвестную максимальную скорость \(\upsilon _0\). Нам известно, что площадь фигуры под графиком скорости численно равно пройденному пути. Такой фигурой у нас является треугольник, его площадь можно найти как полупроизведение основания на высоту, то есть:</p>, <p>\[S = \frac{1}{2}2\tau  \cdot {\upsilon _0} = {\upsilon _0}\tau  \Rightarrow {\upsilon _0} = \frac{S}{\tau }\]</p>, <p>Подставим \(\upsilon _0\) в формулу (1):</p>, <p>\[a = \frac{S}{{{\tau ^2}}}\]</p>, <p>Осталось подставить исходные данные в системе СИ, т.е. путь в метрах (м), а время – в секундах (с).</p>, <p>\[a = \frac{{18000}}{{{{600}^2}}} = 0,05\; м/с^2 = 5\; см/с^2\]</p>]"
5;[<p>Какова скорость транспортера, если за 5 с он перемещается на 10 м?</p>, <p><em>Задача №1.1.6 из «Сборника задач для подготовки к вступительным экзаменам по физике УГНТУ»</em></p>];"[<p>\(t=5\) с, \(S=10\) м, \(\upsilon-?\)</p>, <p>Задача транспортера состоит в том, чтобы перемещать какие-то предметы или грузы на расстояния. Должно быть очевидно, что все точки ленты транспортера, а, значит, и находящиеся на ней предметы, движутся равномерно. Тогда скорость транспортера определяется по очень простой формуле:</p>, <p>\[\upsilon  = \frac{S}{t}\]</p>, <p>\[\upsilon  = \frac{{10}}{5} = 2\; м/с \]</p>]"
6;[<p>Расстояние между двумя городами автомашина проехала со скоростью 60 км/ч, а обратный путь – со скоростью, вдвое меньшей. Найти среднее значение модуля скорости автомашины за все время движения.</p>, <p><em>Задача №1.1.7 из «Сборника задач для подготовки к вступительным экзаменам по физике УГНТУ»</em></p>];"[<p>\(\upsilon_1=60\) км/ч, \(\upsilon_2=\frac{\upsilon_1}{2}\), \(\upsilon_{ср}-?\)</p>, <p>Итак, в задаче необходимо узнать среднюю скорость, которую можно найти как отношение всего пройденного пути ко времени, затраченному на весь путь.</p>, <p>Средняя скорость – эта скорость, которую должно иметь тело (в данном случае автомашина), чтобы пройти то же расстояние за то же время, только двигаясь всегда равномерно (т.е. скорость не должна меняться по величине).</p>, <p>Очевидно, что в общем случае машина не двигается равномерно, так как есть моменты ускорения машины (например, в начале движения из состояния покоя) и моменты замедления (перед остановкой), хотя в этой задаче оно было действительно равномерным (но разным по величине при движении туда и обратно).</p>, <p>Обозначим расстояние между городами – \(S\), время движения в прямом пути – \(t_1\), время движения в обратном пути – \(t_2\). Тогда:</p>, <p>\[{\upsilon _{ср}} = \frac{{S + S}}{{{t_1} + {t_2}}}\;\;\;\;(1)\]</p>, <p>Найдем время \(t_1\) и \(t_2\):</p>, <p>\[{t_1} = \frac{S}{{{\upsilon _1}}}\;\;\;\;(2)\]</p>, <p>\[{t_2} = \frac{S}{{{\upsilon _2}}} = \frac{{2S}}{{{\upsilon _1}}}\;\;\;\;(3)\]</p>, <p>Подставим полученные выражения (2) и (3) в (1):</p>, <p>\[{\upsilon _{ср}} = \frac{{S + S}}{{\frac{S}{{{\upsilon _1}}} + \frac{{2S}}{{{\upsilon _1}}}}}\]</p>, <p>\[{\upsilon _{ср}} = \frac{{S + S}}{{\frac{S}{{{\upsilon _1}}} + \frac{{2S}}{{{\upsilon _1}}}}} = \frac{{2S \cdot {\upsilon _1}}}{{3S}} = \frac{2}{3}{\upsilon _1}\]</p>, <p>Не будем переводить числовые исходные данные в систему СИ, поскольку ответ нужно получить в км/ч. Численный ответ равен:</p>, <p>\[{\upsilon _{ср}} = \frac{2}{3}60 = 40\; км/ч \]</p>]"
7;[<p>Расход воды в канале за секунду составляет 0,27 м<sup>3</sup>. Найти скорость воды при ширине канала 1,5 м и глубине воды 0,6 м.</p>, <p><em>Задача №1.1.8 из «Сборника задач для подготовки к вступительным экзаменам по физике УГНТУ»</em></p>];"[<p>\(V=0,27\) м<sup>3</sup>, \(t=1\) с, \(L=1,5\) м, \(H=0,6\) м, \(\upsilon-?\)</p>, <p><a class=""fancybox"" href=""http://easyfizika.ru/wp-content/uploads/2016/07/Shema-k-resheniyu-zadachi-22.png""><span itemprop=""image"" itemscope="""" itemtype=""https://schema.org/ImageObject""><img alt=""Схема к решению задачи"" class=""alignright wp-image-868 size-medium"" height=""136"" itemprop=""url image"" sizes=""(max-width: 300px) 100vw, 300px"" src=""http://easyfizika.ru/wp-content/uploads/2016/07/Shema-k-resheniyu-zadachi-22-300x136.png"" srcset=""http://easyfizika.ru/wp-content/uploads/2016/07/Shema-k-resheniyu-zadachi-22-300x136.png 300w, http://easyfizika.ru/wp-content/uploads/2016/07/Shema-k-resheniyu-zadachi-22-150x68.png 150w, http://easyfizika.ru/wp-content/uploads/2016/07/Shema-k-resheniyu-zadachi-22-1024x465.png 1024w, http://easyfizika.ru/wp-content/uploads/2016/07/Shema-k-resheniyu-zadachi-22.png 1499w"" width=""300""/><meta content=""300"" itemprop=""width""><meta content=""136"" itemprop=""height""/></meta></span></a>Чтобы решить эту задачу посмотрите на рисунок. За одну секунду вода в канале пройдет расстояние, равное \(\upsilon t\). Объем получившегося на рисунке параллелепипеда равен известному нам объему воды \(V\), проходящего через сечение канала за 1 секунду. Значит верно следующее выражение:</p>, <p>\[V = LH\upsilon t \Rightarrow \upsilon  = \frac{V}{{LHt}}\]</p>, <p>Осталось подставить численные данные для получения ответа:</p>, <p>\[\upsilon  = \frac{{0,27}}{{1,5 \cdot 0,6 \cdot 1}} = 0,3\; м/с\]</p>]"
8;[<p>В трубопроводе с площадью поперечного сечения 100 см<sup>2</sup> в течение часа протекало 18 м<sup>3</sup> нефти. Найти скорость нефти.</p>, <p><em>Задача №1.1.9 из «Сборника задач для подготовки к вступительным экзаменам по физике УГНТУ»</em></p>];"[<p>\(S=100\) см<sup>2</sup>, \(t=1\) ч, \(V=18\) м<sup>3</sup>, \(\upsilon-?\)</p>, <p><a class=""fancybox"" href=""http://easyfizika.ru/wp-content/uploads/2016/07/Shema-k-resheniyu-zadachi-23.png""><span itemprop=""image"" itemscope="""" itemtype=""https://schema.org/ImageObject""><img alt=""Схема к решению задачи"" class=""alignright wp-image-876 size-medium"" height=""189"" itemprop=""url image"" sizes=""(max-width: 300px) 100vw, 300px"" src=""http://easyfizika.ru/wp-content/uploads/2016/07/Shema-k-resheniyu-zadachi-23-300x189.png"" srcset=""http://easyfizika.ru/wp-content/uploads/2016/07/Shema-k-resheniyu-zadachi-23-300x189.png 300w, http://easyfizika.ru/wp-content/uploads/2016/07/Shema-k-resheniyu-zadachi-23-150x94.png 150w, http://easyfizika.ru/wp-content/uploads/2016/07/Shema-k-resheniyu-zadachi-23-1024x643.png 1024w, http://easyfizika.ru/wp-content/uploads/2016/07/Shema-k-resheniyu-zadachi-23.png 1235w"" width=""300""/><meta content=""300"" itemprop=""width""><meta content=""189"" itemprop=""height""/></meta></span></a>На нашем сайте уже есть решение <a href=""http://easyfizika.ru/zadachi/kinematika/rashod-vody-v-kanale-za-sekundu-sostavlyaet-0-27-m3-najti-skorost-vody/"">похожей задачи.</a> Эта задача решается аналогично, даже немного проще.</p>, <p>Справа приведен рисунок к задаче, который поможет Вам в ее понимании.</p>, <p>За час работы насоса нефть в трубопроводе пройдет расстояние \(\upsilon t\) и займет объем, равный объему цилиндра \(S \upsilon t\). То есть:</p>, <p>\[V = S\upsilon t \Rightarrow \upsilon  = \frac{V}{{St}}\]</p>, <p>Подставим исходные данные численно, не забыв перевести время \(t\), равное 1 часу, в секунды. Напомним, что в 1 часе содержится 3600 секунд (60 минут по 60 секунд).</p>, <p>\[\upsilon  = \frac{{18}}{{100 \cdot {{10}^{ – 4}} \cdot 3600}} = 0,5\; м/с \]</p>]"
9;[<p>Тело прошло половину пути со скоростью 6 м/с, а другую половину пути со скоростью 4 м/с. Найти среднюю скорость тела на этом пути.</p>, <p><em>Задача №1.1.10 из «Сборника задач для подготовки к вступительным экзаменам по физике УГНТУ»</em></p>];"[<p>\(\upsilon_1=6\) м/с, \(\upsilon_2=4\) м/с, \(\upsilon_{ср}-?\)</p>, <p>Неверно считать, что средняя скорость является среднеарифметической всех скоростей, с которой двигалось тело! Это считается грубейшей ошибкой, которая говорит о том, что человек не понимает сути этого понятия.</p>, <p>На самом деле средняя скорость – такая скорость, с которой нужно постоянно двигаться телу (т.е. двигаться равномерно), чтобы пройти то же расстояние за то же время. Её можно найти как отношение всего пройденного пути к затраченному времени. Применительно к нашей задаче, это выражается в формуле:</p>, <p>\[{\upsilon _{ср}} = \frac{{\frac{S}{2} + \frac{S}{2}}}{{{t_1} + {t_2}}} = \frac{S}{{{t_1} + {t_2}}}\]</p>, <p>Так как каждую половину пути тело двигалось равномерно, то время \(t_1\) и \(t_2\) можно найти из выражений:</p>, <p>\[{t_1} = \frac{S}{{2{\upsilon _1}}}\]</p>, <p>\[{t_2} = \frac{S}{{2{\upsilon _2}}}\]</p>, <p>Подставим полученные формулы в формулу средней скорости и произведем преобразования:</p>, <p>\[{\upsilon _{ср}} = \frac{S}{{\frac{S}{{2{\upsilon _1}}} + \frac{S}{{2{\upsilon _2}}}}} = \frac{S}{{\frac{{S\left( {{\upsilon _1} + {\upsilon _2}} \right)}}{{2{\upsilon _1}{\upsilon _2}}}}} = \frac{{2S{\upsilon _1}{\upsilon _2}}}{{S\left( {{\upsilon _1} + {\upsilon _2}} \right)}} = \frac{{2{\upsilon _1}{\upsilon _2}}}{{{\upsilon _1} + {\upsilon _2}}}\]</p>, <p>Осталось подставить численные данные.</p>, <p>\[{\upsilon _{ср}} = \frac{{2 \cdot 6 \cdot 4}}{{6 + 4}} = 4,8\; м/с \]</p>]"
