;question;answer
0;[<p>Определить силу тока, проходящего через сопротивление 15 Ом, если напряжение на нем составляет 21 В.</p>, <p><em>Задача №7.1.1 из «Сборника задач для подготовки к вступительным экзаменам по физике УГНТУ»</em></p>];"[<p>\(R=15\) Ом, \(U=21\) В, \(I-?\)</p>, <p>Для решения этой очень простой задачи необходимо лишь воспользоваться законом Ома для участка цепи, согласно которому ток прямо пропорционален напряжению на проводнике и обратно пропорционален сопротивлению проводника:</p>, <p>\[I = \frac{U}{R}\]</p>, <p>Посчитаем численный ответ:</p>, <p>\[I = \frac{{21}}{{15}} = 1,4\;А\]</p>]"
1;[<p>Определить падение напряжения на проводнике, имеющем сопротивление 10 Ом, если известно, что за три минуты по проводнику прошел заряд 90 Кл.</p>, <p><em>Задача №7.1.2 из «Сборника задач для подготовки к вступительным экзаменам по физике УГНТУ»</em></p>];"[<p>\(R=10\) Ом, \(t=3\) мин, \(q=90\) Кл, \(U-?\)</p>, <p>Согласно закону Ома сила тока, протекающего через проводник, прямо пропорциональна напряжению на нем и обратно пропорциональна его сопротивлению, то есть:</p>, <p>\[I = \frac{U}{R}\]</p>, <p>Откуда искомое напряжение (или падение напряжения, что одно и то же) будем искать по формуле:</p>, <p>\[U = IR\;\;\;\;(1)\]</p>, <p>Если известно, что за время \(t\) через проводник протек заряд \(q\), то силу тока \(I\) можно определить таким образом:</p>, <p>\[I = \frac{q}{t}\]</p>, <p>Полученное выражение подставим в формулу (1), так мы получим решение задачи в общем виде:</p>, <p>\[U = \frac{{qR}}{t}\]</p>, <p>Произведем расчет численного ответа (не забываем переводить все величины в систему СИ):</p>, <p>\[U = \frac{{90 \cdot 10}}{{180}} = 5\;В\]</p>]"
2;[<p>Через лампочку накаливания проходит ток 0,8 А. Сколько электронов проводимости проходит через поперечное сечение волоска лампы в 1 с?</p>, <p><em>Задача №7.1.3 из «Сборника задач для подготовки к вступительным экзаменам по физике УГНТУ»</em></p>];"[<p>\(I=0,8\) А, \(t=1\) с, \(N-?\)</p>, <p>Сила тока – это количество заряда, протекающего через проводник в единицу времени, то есть ее можно найти по формуле:</p>, <p>\[I = \frac{q}{t}\;\;\;\;(1)\]</p>, <p>Очевидно, что протекший заряд равен произведению заряда электрона на их количество, то есть:</p>, <p>\[q = Ne\;\;\;\;(2)\]</p>, <p>Заряд электрона \(e\) (вернее модуль заряда) равен 1,6·10<sup>-19</sup> Кл. Подставим (2) в (1), тогда:</p>, <p>\[I = \frac{{Ne}}{t}\]</p>, <p>Откуда искомое количество электронов \(N\) равно:</p>, <p>\[N = \frac{{It}}{e}\]</p>, <p>Посчитаем ответ:</p>, <p>\[N = \frac{{0,8 \cdot 1}}{{1,6 \cdot {{10}^{ – 19}}}} = 0,5 \cdot {10^{19}} = 5 \cdot {10^{18}}\]</p>]"
3;[<p>Удлинитель длиной 30 м сделан из медного провода диаметром 1,3 мм. Каково сопротивление удлинителя?</p>, <p><em>Задача №7.1.4 из «Сборника задач для подготовки к вступительным экзаменам по физике УГНТУ»</em></p>];"[<p>\(l=30\) м, \(d=1,3\) мм, \(R-?\)</p>, <p>Важно понимать, что если удлинитель имеет длину \(l\), то длина медного провода в нем в 2 раза больше (так как нужно подключить положительную и отрицательную клеммы), то есть:</p>, <p>\[L = 2l\;\;\;\;(1)\]</p>, <p>Сопротивление проводника \(R\) можно определить по очень простой формуле:</p>, <p>\[R = \rho \frac{L}{S}\;\;\;\;(2)\]</p>, <p>Здесь \(\rho\) – удельное электрическое сопротивление меди, равное 17 нОм·м.</p>, <p>Площадь поперечного сечения круглого провода диаметром \(d\) найдем таким образом:</p>, <p>\[S = \frac{{\pi {d^2}}}{4}\;\;\;\;(3)\]</p>, <p>Подставим (1) и (3) в (2):</p>, <p>\[R = \rho \frac{{2l \cdot 4}}{{\pi {d^2}}}\]</p>, <p>\[R = 8\rho \frac{l}{{\pi {d^2}}}\]</p>, <p>Задача решена, теперь посчитаем численное значение сопротивления:</p>, <p>\[R = 8 \cdot 17 \cdot {10^{ – 9}} \cdot \frac{{30}}{{3,14 \cdot {{\left( {1,3 \cdot {{10}^{ – 3}}} \right)}^2}}} = 0,77\;Ом\]</p>]"
4;[<p>Эквивалентное сопротивление трех параллельно соединенных проводников равно 30 Ом, а их сопротивления относятся, как 1:3:5. Определить большее из сопротивлений этих проводников.</p>, <p><em>Задача №7.1.5 из «Сборника задач для подготовки к вступительным экзаменам по физике УГНТУ»</em></p>];"[<p>\(R=30\) Ом, \(R_1:R_2:R_3=1:3:5\), \(R_3-?\)</p>, <p>Из данного в условии соотношения \(R_1:R_2:R_3=1:3:5\) очевидно, что максимальное сопротивление имеет третий проводник (то есть нам нужно найти \(R_3\)). Получается, что нам нужно выразить сопротивления первого и второго проводника \(R_1\) и \(R_2\) через третье, а сделать это можно опять из данного в условии соотношения.</p>, <p>\[\left\{ \begin{gathered}<br/> \frac{{{R_1}}}{{{R_3}}} = \frac{1}{5} \hfill \\<br/> \frac{{{R_2}}}{{{R_3}}} = \frac{3}{5} \hfill \\<br/> \end{gathered} \right.\]</p>, <p>Тогда:</p>, <p>\[\left\{ \begin{gathered}<br/> {R_1} = \frac{{{R_3}}}{5} \hfill \\<br/> {R_2} = \frac{{3{R_3}}}{5} \hfill \\<br/> \end{gathered} \right.\]</p>, <p>Эквивалентное сопротивление \(R\) трех указанных параллельно соединенных проводников можно определить по формуле:</p>, <p>\[\frac{1}{R} = \frac{1}{{{R_1}}} + \frac{1}{{{R_2}}} + \frac{1}{{{R_3}}}\]</p>, <p>Учитывая равенства, приведенные в последней системе, получим:</p>, <p>\[\frac{1}{R} = \frac{5}{{{R_3}}} + \frac{5}{{3{R_3}}} + \frac{1}{{{R_3}}}\]</p>, <p>Приведем под общий знаменатель и далее выразим искомое сопротивление \(R_3\):</p>, <p>\[\frac{1}{R} = \frac{{15 + 5 + 3}}{{3{R_3}}}\]</p>, <p>\[\frac{1}{R} = \frac{{23}}{{3{R_3}}}\]</p>, <p>\[{R_3} = \frac{{23R}}{3}\]</p>, <p>Численный ответ равен:</p>, <p>\[{R_3} = \frac{{23 \cdot 30}}{3} = 230\;Ом = 0,23\;кОм\]</p>]"
5;[<p>Проволока имеет сопротивление 36 Ом. Когда ее разрезали на несколько равных частей и соединили эти части параллельно, то получилось сопротивление 1 Ом. На сколько частей разрезали проволоку?</p>, <p><em>Задача №7.1.6 из «Сборника задач для подготовки к вступительным экзаменам по физике УГНТУ»</em></p>];"[<p>\(R_1=36\) Ом, \(R_2=1\) Ом, \(N-?\)</p>, <p><a href=""http://easyfizika.ru/wp-content/uploads/2020/01/shema-k-resheniyu-zadachi.png""><span itemprop=""image"" itemscope="""" itemtype=""https://schema.org/ImageObject""><img alt=""Схема к решению задачи"" class=""alignright wp-image-14408 size-medium"" height=""256"" itemprop=""url image"" sizes=""(max-width: 300px) 100vw, 300px"" src=""http://easyfizika.ru/wp-content/uploads/2020/01/shema-k-resheniyu-zadachi-300x256.png"" srcset=""http://easyfizika.ru/wp-content/uploads/2020/01/shema-k-resheniyu-zadachi-300x256.png 300w, http://easyfizika.ru/wp-content/uploads/2020/01/shema-k-resheniyu-zadachi-1024x874.png 1024w, http://easyfizika.ru/wp-content/uploads/2020/01/shema-k-resheniyu-zadachi-150x128.png 150w, http://easyfizika.ru/wp-content/uploads/2020/01/shema-k-resheniyu-zadachi.png 1155w"" width=""300""/><meta content=""300"" itemprop=""width""/><meta content=""256"" itemprop=""height""/></span></a>Поскольку сопротивление проводника прямо пропорционально его длине, то сопротивление \(R\) проводника, полученного при разрезании проволоки сопротивлением \(R_1\) на \(N\) частей, равно:</p>, <p>\[R = \frac{{{R_1}}}{N}\;\;\;\;(1)\]</p>, <p>Сопротивление \(R_2\) проводника, полученного при параллельном соединении \(N\) проводников с одинаковым сопротивлением \(R\), найдем по известной формуле:</p>, <p>\[\frac{1}{{{R_2}}} = \underbrace {\frac{1}{R} + … + \frac{1}{R}}_{N}\]</p>, <p>\[\frac{1}{{{R_2}}} = \frac{N}{R}\;\;\;\;(2)\]</p>, <p>Подставим (1) в (2), тогда:</p>, <p>\[\frac{1}{{{R_2}}} = \frac{{{N^2}}}{{{R_1}}}\]</p>, <p>\[{N^2} = \frac{{{R_1}}}{{{R_2}}}\]</p>, <p>Откуда количество частей \(N\) равно:</p>, <p>\[N = \sqrt {\frac{{{R_1}}}{{{R_2}}}} \]</p>, <p>\[N = \sqrt {\frac{{36}}{1}} = 6\]</p>]"
6;[<p>Определить плотность тока, текущего по медной проволоке длиной 10 м, на которую подано напряжение 17 мВ.</p>, <p><em>Задача №7.1.7 из «Сборника задач для подготовки к вступительным экзаменам по физике УГНТУ»</em></p>];"[<p>\(L=10\) м, \(U=17\) мВ, \(j-?\)</p>, <p>Плотность тока \(j\) по определению равна отношению силы тока \(I\) на площадь поперечного сечения проводника \(S\), то есть:</p>, <p>\[j = \frac{I}{S}\;\;\;\;(1)\]</p>, <p>Согласно закону Ома для участка цепи сила тока \(I\) прямо пропорциональна напряжению на участке \(U\) и обратно пропорциональна сопротивлению этого участка \(R\), поэтому:</p>, <p>\[I = \frac{U}{R}\;\;\;\;(2)\]</p>, <p>Сопротивление медной проволоки \(R\) легко определить по такой известной формуле (здесь \(\rho\) – удельное электрическое сопротивление меди, равное 17 нОм·м):</p>, <p>\[R = \rho \frac{L}{S}\;\;\;\;(3)\]</p>, <p>Сначала подставим (3) в (2), тогда:</p>, <p>\[I = \frac{{US}}{{\rho L}}\]</p>, <p>Полученное выражение подставим в (1):</p>, <p>\[j = \frac{{US}}{{\rho LS}}\]</p>, <p>\[j = \frac{U}{{\rho L}}\]</p>, <p>Задача решена в общем виде, теперь необходимо лишь подставить данные задачи в полученную формулу и посчитать ответ:</p>, <p>\[j = \frac{{17 \cdot {{10}^{ – 3}}}}{{17 \cdot {{10}^{ – 9}} \cdot 10}} = {10^5}\;А/м^2 = 100\;кА/м^2\]</p>]"
7;[<p>Определить плотность тока, если за 0,4 с через проводник сечением 1,2 мм<sup>2</sup> прошло 6·10<sup>18</sup> электронов.</p>, <p><em>Задача №7.1.8 из «Сборника задач для подготовки к вступительным экзаменам по физике УГНТУ»</em></p>];"[<p>\(t=0,4\) с, \(S=1,2\) мм<sup>2</sup>, \(N=6\cdot 10^{18}\), \(j-?\)</p>, <p>Будем решать задачу, что называется, с конца. По определению плотность тока \(j\) равна отношению силы тока \(I\) на площадь поперечного сечения проводника \(S\), то есть:</p>, <p>\[j = \frac{I}{S}\;\;\;\;(1)\]</p>, <p>Сила тока \(I\) – это количество заряда, протекающего через проводник в единицу времени, то есть ее можно найти по формуле:</p>, <p>\[I = \frac{q}{t}\;\;\;\;(2)\]</p>, <p>Очевидно, что протекший заряд \(q\) равен произведению заряда электрона на их количество, то есть:</p>, <p>\[q = Ne\;\;\;\;(3)\]</p>, <p>Заряд электрона \(e\) (вернее модуль заряда) равен 1,6·10<sup>-19</sup> Кл. Подставим (3) в (2), тогда:</p>, <p>\[I = \frac{{Ne}}{t}\]</p>, <p>Полученное выражение подставим в (1), тогда:</p>, <p>\[j = \frac{{Ne}}{{St}}\]</p>, <p>Задача решена в общем виде, подставим данные задачи в полученную формулу и посчитаем ответ:</p>, <p>\[j = \frac{{6 \cdot {{10}^{18}} \cdot 1,6 \cdot {{10}^{ – 19}}}}{{1,2 \cdot {{10}^{ – 6}} \cdot 0,4}} = 2 \cdot {10^6}\;А/м^2 = 2\;А/мм^2\]</p>]"
8;[<p>Найти плотность тока в стальном проводнике длиной 10 м, на который подано напряжение 0,12 В.</p>, <p><em>Задача №7.1.9 из «Сборника задач для подготовки к вступительным экзаменам по физике УГНТУ»</em></p>];"[<p>\(L=10\) м, \(U=0,12\) В, \(j-?\)</p>, <p>Плотность тока \(j\) по определению равна отношению силы тока \(I\) на площадь поперечного сечения проводника \(S\), то есть:</p>, <p>\[j = \frac{I}{S}\;\;\;\;(1)\]</p>, <p>Согласно закону Ома для участка цепи сила тока \(I\) прямо пропорциональна напряжению на участке \(U\) и обратно пропорциональна сопротивлению этого участка \(R\), поэтому:</p>, <p>\[I = \frac{U}{R}\;\;\;\;(2)\]</p>, <p>Сопротивление стальной проволоки \(R\) легко определить по такой известной формуле (здесь \(\rho\) – удельное электрическое сопротивление стали, равное 120 нОм·м):</p>, <p>\[R = \rho \frac{L}{S}\;\;\;\;(3)\]</p>, <p>Сначала подставим (3) в (2), тогда:</p>, <p>\[I = \frac{{US}}{{\rho L}}\]</p>, <p>Полученное выражение подставим в (1):</p>, <p>\[j = \frac{{US}}{{\rho LS}}\]</p>, <p>\[j = \frac{U}{{\rho L}}\]</p>, <p>Задача решена в общем виде, теперь необходимо лишь подставить данные задачи в полученную формулу и посчитать ответ:</p>, <p>\[j = \frac{{0,12}}{{120 \cdot {{10}^{ – 9}} \cdot 10}} = {10^5}\;А/м^2 = 0,1\;А/мм^2\]</p>]"
9;[<p>Какое напряжение надо приложить к концам стального проводника длиной 30 см и сечение 1,5 мм<sup>2</sup>, чтобы получить ток 10 А?</p>, <p><em>Задача №7.1.10 из «Сборника задач для подготовки к вступительным экзаменам по физике УГНТУ»</em></p>];"[<p>\(L=30\) см, \(S=1,5\) мм<sup>2</sup>, \(I=10\) А, \(U-?\)</p>, <p>По закону Ома для участка цепи сила тока \(I\) прямо пропорциональна напряжению на участке \(U\) и обратно пропорциональна сопротивлению этого участка \(R\), поэтому:</p>, <p>\[I = \frac{U}{R}\]</p>, <p>Тогда:</p>, <p>\[U = IR\;\;\;\;(1)\]</p>, <p>Сопротивление стальной проволоки \(R\) легко определить по формуле:</p>, <p>\[R = \rho \frac{L}{S}\;\;\;\;(2)\]</p>, <p>Здесь \(\rho\) – удельное электрическое сопротивление стали, равное 120 нОм·м.</p>, <p>Подставим (2) в (1), тогда:</p>, <p>\[U = \frac{{I\rho L}}{S}\]</p>, <p>Задача решена, посчитаем ответ:</p>, <p>\[U = \frac{{10 \cdot 120 \cdot {{10}^{ – 9}} \cdot 0,3}}{{1,5 \cdot {{10}^{ – 6}}}} = 0,24\;В = 240\;мВ\]</p>]"
