;question;answer
0;[<p>Тело нагрелось на 5 К, поглотив 10 кДж теплоты. Чему равна его теплоемкость?</p>, <p><em>Задача №5.1.1 из «Сборника задач для подготовки к вступительным экзаменам по физике УГНТУ»</em></p>];"[<p>\(\Delta T=5\) К, \(Q=10\) кДж, \(C-?\)</p>, <p>Теплоемкость \(C\) – это физическая величина, показывающая какое количество теплоты нужно затратить, чтобы изменить температуру тела на 1 К (или 1° C). Не путайте теплоемкость \(C\) с удельной теплоемкостью \(c\) – первая относится ко всему телу, а вторая – к единице массы.</p>, <p>Значит её можно определить по формуле:</p>, <p>\[C = \frac{Q}{{\Delta T}}\]</p>, <p>Посчитаем ответ:</p>, <p>\[C = \frac{{10 \cdot {{10}^3}}}{5} = 2000\;Дж/К = 2\;кДж/К\]</p>]"
1;[<p>На сколько градусов нагреется вода массой 0,5 кг, если ей сообщить 16,8 кДж тепла?</p>, <p><em>Задача №5.1.2 из «Сборника задач для подготовки к вступительным экзаменам по физике УГНТУ»</em></p>];"[<p>\(m=0,5\) кг, \(Q=16,8\) кДж, \(\Delta t-?\)</p>, <p>Запишем формулу количества теплоты при нагревании тела:</p>, <p>\[Q = cm\Delta t\]</p>, <p>Удельная теплоемкость воды \(c\) – это табличная величина, равная 4200 Дж/(кг·°C).</p>, <p>Откуда искомое изменение температуры \(\Delta t\) равно:</p>, <p>\[\Delta t = \frac{Q}{{cm}}\]</p>, <p>Посчитаем численный ответ к задаче:</p>, <p>\[\Delta t = \frac{{16,8 \cdot {{10}^3}}}{{4200 \cdot 0,5}} = 8^\circ\;C \]</p>]"
2;[<p>Сколько тепла выделится при сгорании 2 кг бензина?</p>, <p><em>Задача №5.1.3 из «Сборника задач для подготовки к вступительным экзаменам по физике УГНТУ»</em></p>];"[<p>\(m=2\) кг, \(Q-?\)</p>, <p>Запишем формулу количества теплоты, образующейся при сгорании топлива:</p>, <p>\[Q = qm\]</p>, <p>Здесь \(q\) – это табличная величина, называемая удельной теплотой сгорания топлива. Для бензина она равна 46 МДж/кг.</p>, <p>Посчитаем ответ:</p>, <p>\[Q = 46 \cdot {10^6} \cdot 2 = 92 \cdot {10^6}\;Дж = 92\;МДж\]</p>]"
3;[<p>На сколько увеличилась внутренняя энергия 1 кг воды при нагревании её на 2 К?</p>, <p><em>Задача №5.1.4 из «Сборника задач для подготовки к вступительным экзаменам по физике УГНТУ»</em></p>];"[<p>\(m=1\) кг, \(\Delta T=2\) К, \(\Delta U-?\)</p>, <p>Всё переданное воде количество теплоты пойдёт на изменение её внутренней энергии:</p>, <p>\[\Delta U = Q\]</p>, <p>Запишем формулу количества теплоты при нагревании:</p>, <p>\[Q = cm\Delta T\]</p>, <p>Здесь \(c\) – удельная теплоёмкость воды, равная 4200 Дж/(кг·К).</p>, <p>В итоге мы получим такую формулу для нахождения изменения внутренней энергии воды:</p>, <p>\[\Delta U = cm\Delta T\]</p>, <p>Посчитаем численный ответ к задаче:</p>, <p>\[\Delta U = 4200 \cdot 1 \cdot 2 = 8400\;Дж\]</p>]"
4;[<p>Сколько тепла было передано льдинке массой 50 г, если она нагрелась на 3 К?</p>, <p><em>Задача №5.1.5 из «Сборника задач для подготовки к вступительным экзаменам по физике УГНТУ»</em></p>];"[<p>\(m=50\) г, \(\Delta T=3\) К, \(Q-?\)</p>, <p>Поскольку льдинка нагрелась, то можно сделать вывод, что её температура в начале была ниже 0° C, хотя это неважно в этой задаче.</p>, <p>Запишем формулу для определения количества теплоты при нагревании тела:</p>, <p>\[Q = cm\Delta T\]</p>, <p>Удельная теплоемкость льда \(c\) равна 2100 Дж/(кг·К). Интересно, что она ровно в два раза меньше теплоемкости воды.</p>, <p>Переведём массу льдинку в систему СИ, то есть выразим её в килограммах:</p>, <p>\[50\;г = 0,05\;кг\]</p>, <p>Посчитаем ответ к задаче:</p>, <p>\[Q = 2100 \cdot 0,05 \cdot 3 = 315\;Дж\]</p>]"
5;[<p>Какая установится температура воды после смешивания 39 л воды при 20° C и 21 л при 60° C?</p>, <p><em>Задача №5.1.6 из «Сборника задач для подготовки к вступительным экзаменам по физике УГНТУ»</em></p>];"[<p>\(V_1=39\) л, \(t_1=20^\circ\) C, \(V_2=21\) л, \(t_2=60^\circ\) C, \(t-?\)</p>, <p>Понятно, что объем воды \(V_2\), имеющий более высокую температуру \(t_2\), после смешения передаст часть теплоты объему воды \(V_1\) c более низкой температурой \(t_1\), которая за счёт этой теплоты нагреется. В конце вся вода будет иметь некоторую температуру \(t\).</p>, <p>Запишем уравнение теплового баланса:</p>, <p>\[{Q_1} = {Q_2}\]</p>, <p>Здесь \(Q_1\) – количество теплоты, полученное водой объемом \(V_1\) при нагревании до температуры \(t\), а \(Q_2\) – количество теплоты, отданное водой объемом \(V_2\) при охлаждении до температуры \(t\).</p>, <p>\[c{m_1}\left( {t – {t_1}} \right) = c{m_2}\left( {{t_2} – t} \right)\]</p>, <p>Выразим массы как произведение плотности воды на объем:</p>, <p>\[c\rho {V_1}\left( {t – {t_1}} \right) = c\rho {V_2}\left( {{t_2} – t} \right)\]</p>, <p>\[{V_1}\left( {t – {t_1}} \right) = {V_2}\left( {{t_2} – t} \right)\]</p>, <p>Теперь раскроем скобки, в одной части равенства соберем все члены с множителем \(t\), вынесем его за скобки и выразим его.</p>, <p>\[{V_1}t – {V_1}{t_1} = {V_2}{t_2} – {V_2}t\]</p>, <p>\[{V_1}t + {V_2}t = {V_2}{t_2} + {V_1}{t_1}\]</p>, <p>\[t\left( {{V_1} + {V_2}} \right) = {V_2}{t_2} + {V_1}{t_1}\]</p>, <p>\[t = \frac{{{V_1}{t_1} + {V_2}{t_2}}}{{{V_1} + {V_2}}}\]</p>, <p>Переводить объемы и температуры в систему СИ нет смысла – ответ мы получим в градусах Цельсия.</p>, <p>\[t = \frac{{39 \cdot 20 + 21 \cdot 60}}{{39 + 21}} = 34^\circ\;C  = 307\;К\]</p>]"
6;[<p>Железный стержень массой 5 кг, нагретый до 550° C, опускается в воду. Сколько теплоты ежесекундно теряет стержень, если за 10 мин он остывает до 45° C?</p>, <p><em>Задача №5.1.7 из «Сборника задач для подготовки к вступительным экзаменам по физике УГНТУ»</em></p>];"[<p>\(m=5\) кг, \(t_1=550^\circ\) C, \(\tau_1=10\) мин, \(\tau_2=1\) с, \(t_2=45^\circ\) C, \({Q_2}-?\)</p>, <p>Количество теплоты \(Q_1\), теряемое железным стержнем при остывании, определим по формуле:</p>, <p>\[{Q_1} = cm\left( {{t_1} – {t_2}} \right)\;\;\;\;(1)\]</p>, <p>Удельная теплоёмкость железа \(c\) равна 460 Дж/(кг·К).</p>, <p>Найдем тепловую мощность \(N\). Для этого нужно количество теплоты \(Q_1\) поделить на время \(\tau_1\):</p>, <p>\[N = \frac{Q_1}{\tau_1}\;\;\;\;(2)\]</p>, <p>Подставим выражение (1) в формулу (2), тогда:</p>, <p>\[N = \frac{{cm\left( {{t_1} – {t_2}} \right)}}{\tau_1 }\;\;\;\;(3)\]</p>, <p>Теперь, чтобы найти искомое количество теплоты \({Q_2}\), которое ежесекундно теряет стержень, применим следующую формулу:</p>, <p>\[{Q_2} = N{\tau _2}\;\;\;\;(4)\]</p>, <p>Подставим выражение (3) в формулу (4), тогда:</p>, <p>\[{Q_2} = \frac{{cm\left( {{t_1} – {t_2}} \right){\tau _2}}}{{{\tau _1}}}\]</p>, <p>Переведем время остывания \(\tau\) из минут в секунды:</p>, <p>\[10\;мин = 600\;с\]</p>, <p>Посчитаем ответ:</p>, <p>\[{Q_2} = \frac{{460 \cdot 5 \cdot \left( {550 – 45} \right) \cdot 1}}{{600}} = 1936\;Дж \approx 1,94\;кДж\]</p>]"
7;[<p>Сколько литров воды при 100° C нужно добавить к воде при 20° C, чтобы получить 300 л воды при 40° C?</p>, <p><em>Задача №5.1.8 из «Сборника задач для подготовки к вступительным экзаменам по физике УГНТУ»</em></p>];"[<p>\(t_1=100^\circ\) C, \(t_2=20^\circ\) C, \(V=300\) л, \(t=40^\circ\) C, \(V_1-?\)</p>, <p>Объем воды \(V_1\) при температуре \(t_1\) смешивают с водой объемом \(V_2\) при температуре \(t_2\). Всего при смешении получится объем воды \(V\), который будет иметь температуру \(t\).</p>, <p>Запишем уравнение теплового баланса:</p>, <p>\[{Q_1} = {Q_2}\]</p>, <p>Здесь \(Q_1\) – количество теплоты, отданное водой объемом \(V_1\) при остывании до температуры \(t\), а \(Q_2\) – количество теплоты, полученное объемом \(V_2\) при нагревании до температуры \(t\).</p>, <p>\[c{m_1}\left( {{t_1} – t} \right) = c{m_2}\left( {t – {t_2}} \right)\]</p>, <p>Выразим массу как произведение плотности воды на соответствующий объем:</p>, <p>\[c\rho {V_1}\left( {{t_1} – t} \right) = c\rho {V_2}\left( {t – {t_2}} \right)\]</p>, <p>\[{V_1}\left( {{t_1} – t} \right) = {V_2}\left( {t – {t_2}} \right)\]</p>, <p>Совершенно очевидно, что \({V_2} = V – {V_1}\), поэтому:</p>, <p>\[{V_1}\left( {{t_1} – t} \right) = \left( {V – {V_1}} \right)\left( {t – {t_2}} \right)\]</p>, <p>Мы получили такое равенство с одним неизвестным. Далее остаётся чистая математика: раскроем скобки, в одной части равенства соберем все члены с множителем \(V_1\), вынесем его за скобки и выразим его.</p>, <p>\[{V_1}{t_1} – {V_1}t = Vt – V{t_2} – {V_1}t + {V_1}{t_2}\]</p>, <p>\[{V_1}{t_1} = Vt – V{t_2} + {V_1}{t_2}\]</p>, <p>\[{V_1}{t_1} – {V_1}{t_2} = Vt – V{t_2}\]</p>, <p>\[{V_1}\left( {{t_1} – {t_2}} \right) = V\left( {t – {t_2}} \right)\]</p>, <p>\[{V_1} = \frac{{V\left( {t – {t_2}} \right)}}{{{t_1} – {t_2}}}\]</p>, <p>Переводить никакие величины в систему СИ не будем, тогда ответ получим в литрах.</p>, <p>\[{V_1} = \frac{{300 \cdot \left( {40 – 20} \right)}}{{100 – 20}} = 75\;л\]</p>]"
8;[<p>В стакане было 50 г воды при температуре 20° C. В него долили 100 г воды при температуре 80° C. Какой стала температура воды в стакане?</p>, <p><em>Задача №5.1.9 из «Сборника задач для подготовки к вступительным экзаменам по физике УГНТУ»</em></p>];"[<p>\(m_1=50\) г, \(t_1=20^\circ\) C, \(m_2=100\) г, \(t_2=80^\circ\) C, \(t-?\)</p>, <p>Вода массой \(m_1\) при теплообмене нагреется до некоторой температуры \(t\), а вода массой \(m_2\) – остынет до той же температуры. Запишем уравнение теплового баланса:</p>, <p>\[{Q_1} = {Q_2}\]</p>, <p>Здесь \(Q_1\) – количество теплоты, полученное водой массой \(m_1\) при теплообмене, а \(Q_2\) – количество теплоты, отданное водой массой \(m_2\).</p>, <p>\[c{m_1}\left( {t – {t_1}} \right) = c{m_2}\left( {{t_2} – t} \right)\]</p>, <p>\[{m_1}\left( {t – {t_1}} \right) = {m_2}\left( {{t_2} – t} \right)\]</p>, <p>Раскроем скобки в обеих частях равенства:</p>, <p>\[{m_1}t – {m_1}{t_1} = {m_2}{t_2} – {m_2}t\]</p>, <p>В левую часть перенесем члены с множителем \(t\), а в правую – все оставшиеся.</p>, <p>\[{m_1}t + {m_2}t = {m_1}{t_1} + {m_2}{t_2}\]</p>, <p>\[t\left( {{m_1} + {m_2}} \right) = {m_1}{t_1} + {m_2}{t_2}\]</p>, <p>\[t = \frac{{{m_1}{t_1} + {m_2}{t_2}}}{{{m_1} + {m_2}}}\]</p>, <p>Задача решена в общем виде. Можно подставить значения величин без перевода в систему СИ, тогда ответ мы получим в градусах Цельсия.</p>, <p>\[t = \frac{{50 \cdot 20 + 100 \cdot 80}}{{50 + 100}} = 60^\circ\;C  = 333\;К\]</p>]"
9;[<p>Реактивный самолет пролетает с постоянной скоростью 250 м/с путь 1800 км, затрачивая на это горючее массой 4 т. Мощность двигателя самолета равна 5,9 МВт, КПД двигателя – 23%. Какова теплотворная способность применяемого горючего?</p>, <p><em>Задача №5.1.10 из «Сборника задач для подготовки к вступительным экзаменам по физике УГНТУ»</em></p>];"[<p>\(\upsilon=250\) м/с, \(S=1800\) км, \(m=4\) т, \(N=5,9\) МВт, \(\eta=23\%\), \(q-?\)</p>, <p>Коэффициент полезного действия (КПД) двигателя \(\eta\) – это отношение полезной работы двигателя \(A_п\) к затраченной работе \(A_з\).</p>, <p>\[\eta  = \frac{{{A_п}}}{{{A_з}}}\;\;\;\;(1)\]</p>, <p>Если считать КПД по такой формуле, то его значение получается в долях единицы (не в процентах).</p>, <p>Затраченная работа \(A_з\) равна количеству теплоты \(Q\), выделившейся при сгорании горючего.</p>, <p>\[{A_з} = Q\]</p>, <p>При этом количество теплоты \(Q\), выделяющееся при сгорании топлива, определяется по формуле:</p>, <p>\[Q = qm\]</p>, <p>\[{A_з} = qm\;\;\;\;(2)\]</p>, <p>Полезную работу \(A_п\) определи через мощность \(N\) по формуле:</p>, <p>\[{A_п} = Nt\]</p>, <p>Так как самолет двигался равномерно, то время полета \(t\) легко определить по формуле:</p>, <p>\[t = \frac{S}{\upsilon }\]</p>, <p>\[{A_п} = \frac{{NS}}{\upsilon }\;\;\;\;(3)\]</p>, <p>Подставим выражения (2) и (3) в формулу (1), получим:</p>, <p>\[\eta  = \frac{{NS}}{{\upsilon qm}}\]</p>, <p>Выразим отсюда искомую теплотворную способность горючего \(q\) (её еще называют удельной теплотой сгорания):</p>, <p>\[q = \frac{{NS}}{{\eta m\upsilon }}\]</p>, <p>Переведём путь, массу горючего и КПД в систему СИ:</p>, <p>\[1800\;км = 1,8 \cdot {10^6}\;м\]</p>, <p>\[4\;т = 4000\;кг\]</p>, <p>\[23\%  = 0,23\]</p>, <p>Посчитаем численный ответ к задаче:</p>, <p>\[q = \frac{{5,9 \cdot {{10}^6} \cdot 1,8 \cdot {{10}^6}}}{{0,23 \cdot 4000 \cdot 250}} = 46,2 \cdot {10^6}\;Дж/кг = 46,2\;МДж/кг\]</p>]"
