;question;answer
0;[<p>В баллоне находится 20 моль газа. Сколько молекул газа находится в баллоне?</p>, <p><em>Задача №4.1.1 из «Сборника задач для подготовки к вступительным экзаменам по физике УГНТУ»</em></p>];[<p>\(\nu = 20\) моль, \(N-?\)</p>, <p>Известно, что в 1 моль любого вещества содержится число молекул, равное числу Авогадро \(N_А\). Тогда понятно, что в \(\nu\) молях вещества содержится в \(\nu\) раз больше, чем число Авогадро. Запишем сказанное в виде формулы:</p>, <p>\[N = \nu {N_А}\]</p>, <p>Число Авогадро \(N_А\) равно 6,022·10<sup>23</sup> 1/моль.</p>, <p>Посчитаем численный ответ к задаче:</p>, <p>\[N = 20 \cdot 6,022 \cdot {10^{23}} = 120,44 \cdot {10^{23}} = 1,2 \cdot {10^{25}}\]</p>, <p>Поскольку в физике нет единицы измерения “штук”, то так и оставляем полученную величину безразмерной.</p>]
1;[<p>Определить массу молекулы кислорода.</p>, <p><em>Задача №4.1.2 из «Сборника задач для подготовки к вступительным экзаменам по физике УГНТУ»</em></p>];"[<p>Рассмотрим \(\nu\) (произвольное количество) моль кислорода. Напомним, что формула кислорода такая: O<sub>2</sub>.</p>, <p>Чтобы найти массу \(m\) некоторого количества кислорода, нужно молярную массу кислорода \(M\) умножить на число молей \(\nu\).</p>, <p>\[m = \nu  \cdot M\]</p>, <p>Используя таблицу Менделеева, легко определить, что молярная масса кислорода \(M\) равна 32 г/моль или 0,032 кг/моль.</p>, <p>В одном моле содержится число Авогадро молекул \(N_А\), а в \(\nu\) моль – в \(\nu\) раз больше, то есть:</p>, <p>\[N = \nu {N_А}\]</p>, <p>Чтобы найти массу одной молекулы \(m_0\), нужно всю массу \(m\) поделить на число молекул \(N\).</p>, <p>\[{m_0} = \frac{m}{N}\]</p>, <p>\[{m_0} = \frac{{\nu  \cdot M}}{{\nu  \cdot {N_А}}}\]</p>, <p>\[{m_0} = \frac{M}{{{N_А}}}\]</p>, <p>Число Авогадро \(N_А\) – это табличная величина, равна 6,022·10<sup>23</sup> моль<sup>-1</sup>. Произведем вычисления:</p>, <p>\[{m_0} = \frac{{0,032}}{{6,022 \cdot {{10}^{23}}}} = 5,3 \cdot {10^{ – 26}}\;кг = 5,3 \cdot {10^{ – 23}}\;г\]</p>]"
2;[<p>Сколько молекул содержится в 5 кг кислорода?</p>, <p><em>Задача №4.1.3 из «Сборника задач для подготовки к вступительным экзаменам по физике УГНТУ»</em></p>];[<p>\(m=5\) кг, \(N-?\)</p>, <p>Число молекул \(N\) находят как произведение количества вещества \(\nu\) на число Авогадро \(N_А\) (равное 6,022·10<sup>23</sup> моль<sup>-1</sup>).</p>, <p>\[N = \nu {N_А}\]</p>, <p>Количество вещества \(\nu\) найдем как отношение массы \(m\) к молярной массе вещества \(M\) (у кислорода O<sub>2</sub> она равна 0,032 кг/моль).</p>, <p>\[\nu  = \frac{m}{M}\]</p>, <p>В итоге имеем такую окончательную формулу:</p>, <p>\[N = \frac{m}{M}{N_А}\]</p>, <p>Посчитаем численный ответ к задаче:</p>, <p>\[N = \frac{5}{{0,032}} \cdot 6,022 \cdot {10^{23}} = 9,41 \cdot {10^{25}}\]</p>, <p>Помните, что число молекул в физике – это безразмерная величина, не нужно писать никаких “штук”.</p>]
3;[<p>При температуре 320 К средняя квадратичная скорость молекулы кислорода 500 м/с. Определить массу молекулы кислорода.</p>, <p><em>Задача №4.1.4 из «Сборника задач для подготовки к вступительным экзаменам по физике УГНТУ»</em></p>];"[<p>\(T=320\) К, \(\upsilon_{кв}=500\) м/с, \(m_0 – ?\)</p>, <p>Как и в механике, среднюю кинетическую энергию молекул кислорода можно определить по формуле:</p>, <p>\[{E_к} = \frac{{{m_0}\upsilon _{кв}^2}}{2}\]</p>, <p>С другой стороны, есть формула связи средней кинетической энергии с абсолютной температурой:</p>, <p>\[{E_к} = \frac{3}{2}kT\]</p>, <p>Приравняем правые части этих двух формул:</p>, <p>\[\frac{{{m_0}\upsilon _{кв}^2}}{2} = \frac{3}{2}kT\]</p>, <p>Выразим из этого равенства массу одной молекулы \(m_0\):</p>, <p>\[{m_0} = \frac{{3kT}}{{\upsilon _{кв}^2}}\]</p>, <p>Напомним, что здесь \(k\) – это постоянная Больцмана, равная 1,38·10<sup>-23</sup> Дж/К. Посчитаем ответ:</p>, <p>\[{m_0} = \frac{{3 \cdot 1,38 \cdot {{10}^{ – 23}} \cdot 320}}{{{{500}^2}}} = 5,3 \cdot {10^{ – 26}}\;кг = 5,3 \cdot {10^{ – 23}}\;г\]</p>]"
4;[<p>Определить давление водорода, если средняя квадратичная скорость его молекул равна 2550 м/с, а концентрация молекул 3,6·10<sup>25</sup> м<sup>-3</sup>.</p>, <p><em>Задача №4.1.5 из «Сборника задач для подготовки к вступительным экзаменам по физике УГНТУ»</em></p>];"[<p>\(\upsilon_{кв}=2550\) м/с, \(n=3,6 \cdot 10^{25}\) м<sup>-3</sup>, \(p-?\)</p>, <p>Воспользуемся основным уравнением молекулярно-кинетической теории (МКТ) идеального газа:</p>, <p>\[p = \frac{1}{3}{m_0}n\upsilon _{кв}^2\]</p>, <p>Как вы и сами можете видеть, нам неизвестна только масса одной молекулы \(m_0\), входящее в это уравнение. Её можно найти, поделив молярную массу газа \(M\) (а она у водорода равна 0,002 кг/моль) на число Авогадро \(N_А\) (оно равно 6,022·10<sup>23</sup> 1/моль).</p>, <p>\[{m_0} = \frac{M}{{{N_А}}}\]</p>, <p>В итоге получается такая формула:</p>, <p>\[p = \frac{M}{{3{N_А}}}n\upsilon _{кв}^2\]</p>, <p>Произведем расчет ответа:</p>, <p>\[p = \frac{{0,002}}{{3 \cdot 6,022 \cdot {{10}^{23}}}} \cdot 3,6 \cdot {10^{25}} \cdot {2550^2} = 259150\;Па \approx 259\;кПа\]</p>]"
5;[<p>Какова средняя кинетическая энергия поступательного движения молекул газа, если при концентрации молекул 2,65·10<sup>25</sup> м<sup>-3</sup> давление равно 98,8 кПа?</p>, <p><em>Задача №4.1.6 из «Сборника задач для подготовки к вступительным экзаменам по физике УГНТУ»</em></p>];"[<p>\(n=2,65 \cdot 10^{25}\) м<sup>-3</sup>, \(p=98,8\) кПа, \(E_к-?\)</p>, <p>Запишем основное уравнение МКТ идеального газа:</p>, <p>\[p = \frac{1}{3}{m_0}n\upsilon _{кв}^2\;\;\;\;(1)\]</p>, <p>Среднюю кинетическую энергию молекул газа можно определить по формуле:</p>, <p>\[{E_к} = \frac{{{m_0}\upsilon _{кв}^2}}{2}\]</p>, <p>С учетом этой формулы, формула (1) примет такой вид:</p>, <p>\[p = \frac{2}{3}n{E_к}\]</p>, <p>Откуда искомая величина \(E_к\) равна:</p>, <p>\[{E_к} = \frac{{3p}}{{2n}}\]</p>, <p>Задача решена в общем виде, теперь посчитаем численный ответ:</p>, <p>\[{E_к} = \frac{{3 \cdot 98,8 \cdot {{10}^3}}}{{2 \cdot 2,65 \cdot {{10}^{25}}}} = 5,59 \cdot {10^{ – 21}}\;Дж\]</p>, <p>В задачнике ответ дан не в Джоулях, а в электрон-Вольтах. Известно, что:</p>, <p>\[1\;эВ = 1,6 \cdot {10^{ – 19}}\;Дж\]</p>, <p>Поэтому:</p>, <p>\[{E_к} = 5,59 \cdot {10^{ – 21}}\;Дж = 0,035\;эВ\]</p>]"
6;[<p>Определить давление, при котором 1 м<sup>3</sup> газа, имеющий температуру 60° C, содержит 2,4·10<sup>26</sup> молекул.</p>, <p><em>Задача №4.1.7 из «Сборника задач для подготовки к вступительным экзаменам по физике УГНТУ»</em></p>];"[<p>\(V=1\) м<sup>3</sup>, \(t=60^\circ\) C, \(N=2,4 \cdot 10^{26}\), \(p-?\)</p>, <p>Запишем формулу связи давления идеального газа с концентрацией молекул и абсолютной температурой:</p>, <p>\[p = nkT\;\;\;\;(1)\]</p>, <p>В этой формуле \(n\) – концентрация молекул, которую легко определить по формуле:</p>, <p>\[n = \frac{N}{V}\]</p>, <p>Также в условии температура дана в Цельсиях. Чтобы перевести температуру в Кельвины, то есть в абсолютную шкалу, нужно воспользоваться формулой:</p>, <p>\[T = t + 273\]</p>, <p>С учетом всего записанного, формула (1) станет такой:</p>, <p>\[p = \frac{N}{V}k\left( {t + 273} \right)\]</p>, <p>Здесь \(k\) – это постоянная Больцмана, равна 1,38·10<sup>-23</sup> Дж/К. Посчитаем ответ:</p>, <p>\[p = \frac{{2,4 \cdot {{10}^{26}}}}{1} \cdot 1,38 \cdot {10^{ – 23}} \cdot \left( {60 + 273} \right) = 1102896\;Па \approx 1103\;кПа\]</p>]"
7;[<p>Сколько молекул содержится в 1 л воды?</p>, <p><em>Задача №4.1.8 из «Сборника задач для подготовки к вступительным экзаменам по физике УГНТУ»</em></p>];"[<p>\(V=1\) л, \(N-?\)</p>, <p>Чтобы определить число молекул \(N\), нужно количество вещества \(\nu\) (число моль) умножить на число Авогадро \(N_А\):</p>, <p>\[N = \nu {N_А}\]</p>, <p>Число Авогадро \(N_А\) – это физическая постоянная, равная 6,022·10<sup>23</sup> 1/моль.</p>, <p>Количества вещества \(\nu\) можно найти, разделив массу \(m\) на молярную массу вещества \(M\).</p>, <p>\[\nu  = \frac{m}{M}\]</p>, <p>Молярная масса воды (H<sub>2</sub>O) равна 0,018 кг/моль.</p>, <p>Ну и массу \(m\) можно найти как произведение плотности \(\rho\) на объем \(V\):</p>, <p>\[m = \rho V\]</p>, <p>Плотность воды \(\rho\) составляет 1000 кг/м<sup>3</sup>.</p>, <p>В итоге Вы должны получить такую формулу:</p>, <p>\[N = \frac{{\rho V}}{M}{N_А}\]</p>, <p>Обязательно перед подстановкой в формулу переведем объем в единицы системы СИ:</p>, <p>\[1\;л = 0,001\;м^3\]</p>, <p>Посчитаем ответ:</p>, <p>\[N = \frac{{1000 \cdot 0,001}}{{0,018}} \cdot 6,022 \cdot {10^{23}} = 3,35 \cdot {10^{25}}\]</p>]"
8;[<p>Какое значение температуры по шкале Кельвина соответствует температуре 100° C?</p>, <p><em>Задача №4.1.9 из «Сборника задач для подготовки к вступительным экзаменам по физике УГНТУ»</em></p>];"[<p>\(t=100^\circ\) C, \(T-?\)</p>, <p>Чтобы перевести температуру из шкалы Цельсия в шкалу Кельвина (то есть в абсолютную шкалу температур), нужно воспользоваться следующей формулой:</p>, <p>\[T = t + 273\]</p>, <p>Учитывая это, мы получим такой ответ:</p>, <p>\[T = 100 + 273 = 373\;К\]</p>]"
9;[<p>Какой объем при нормальных условиях занимают 5 г углекислого газа?</p>, <p><em>Задача №4.1.10 из «Сборника задач для подготовки к вступительным экзаменам по физике УГНТУ»</em></p>];"[<p>\(m=5\) г, \(V-?\)</p>, <p>Эту задачу проще всего решить, если воспользоваться уравнением Клапейрона-Менделеева:</p>, <p>\[pV = \frac{m}{M}RT\]</p>, <p>Выразим из уравнения искомый объем \(V\):</p>, <p>\[V = \frac{{mRT}}{{pM}}\;\;\;\;(1)\]</p>, <p>Здесь \(R\) – универсальная газовая постоянная, равная 8,31 Дж/(моль·К). Нормальным условиям соответствует давление \(p\), равное 100 кПа, и температура \(T\), равная 0° C или 273 К. Молярная масса углекислого газа (CO<sub>2</sub>) равна 0,044 кг/моль.</p>, <p>Переведем массу в систему СИ и посчитаем ответ:</p>, <p>\[5\;г = 0,005\;кг\]</p>, <p>\[V = \frac{{0,005 \cdot 8,31 \cdot 273}}{{100 \cdot {{10}^3} \cdot 0,044}} = 0,0026\;м^3\]</p>, <p>Интересна ради представим формулу (1) в следующем виде, где \(\nu\) – это количество вещества:</p>, <p>\[V = \frac{{\nu RT}}{p}\]</p>, <p>Из формулы видно, что равные количества вещества любых газов при нормальных условиях занимают один и тот же объем.</p>]"
